id;nome;cpf;a;b;;
582;usuario 582;375.666.236-19;375666236;19;;
583;usuario 583;753.477.070-10;753477070;10;;
584;usuario 584;485.194.407-10;485194407;10;;
585;usuario 585;791.029.669-19;791029669;19;;
586;usuario 586;788.571.886-18;788571886;18;;
587;usuario 587;657.947.562-19;657947562;19;;
588;usuario 588;633.763.898-13;633763898;13;;
589;usuario 589;665.623.961-14;665623961;14;;
590;usuario 590;261.737.183-12;261737183;12;;
591;usuario 591;119.341.412-19;119341412;19;;
592;usuario 592;603.405.989-11;603405989;11;;
593;usuario 593;211.950.416-12;211950416;12;;
594;usuario 594;245.543.312-11;245543312;11;;
595;usuario 595;453.151.143-16;453151143;16;;
596;usuario 596;304.467.080-15;304467080;15;;
597;usuario 597;455.718.047-19;455718047;19;;
598;usuario 598;698.002.095-12;698002095;12;;
599;usuario 599;148.592.082-10;148592082;10;;
600;usuario 600;615.956.977-10;615956977;10;;
601;usuario 601;281.256.039-19;281256039;19;;
602;usuario 602;376.312.295-10;376312295;10;;
603;usuario 603;648.183.449-16;648183449;16;;
604;usuario 604;957.863.566-17;957863566;17;;
605;usuario 605;655.680.999-18;655680999;18;;
606;usuario 606;859.115.608-14;859115608;14;;
607;usuario 607;345.734.706-19;345734706;19;;
608;usuario 608;353.079.962-16;353079962;16;;
609;usuario 609;648.162.237-13;648162237;13;;
610;usuario 610;536.909.166-18;536909166;18;;
611;usuario 611;542.585.952-19;542585952;19;;
612;usuario 612;235.937.312-10;235937312;10;;
613;usuario 613;854.851.393-13;854851393;13;;
614;usuario 614;418.411.745-17;418411745;17;;
615;usuario 615;421.803.473-13;421803473;13;;
616;usuario 616;712.578.261-14;712578261;14;;
617;usuario 617;224.930.108-15;224930108;15;;
618;usuario 618;570.977.098-12;570977098;12;;
619;usuario 619;975.097.514-16;975097514;16;;
620;usuario 620;752.258.274-18;752258274;18;;
621;usuario 621;727.568.135-11;727568135;11;;
622;usuario 622;597.543.755-12;597543755;12;;
623;usuario 623;348.835.656-17;348835656;17;;
624;usuario 624;395.174.807-15;395174807;15;;
625;usuario 625;848.591.732-14;848591732;14;;
626;usuario 626;267.976.200-10;267976200;10;;
627;usuario 627;890.228.268-13;890228268;13;;
628;usuario 628;457.027.966-16;457027966;16;;
629;usuario 629;448.605.477-18;448605477;18;;
630;usuario 630;465.466.406-16;465466406;16;;
631;usuario 631;112.515.822-12;112515822;12;;
632;usuario 632;651.893.008-10;651893008;10;;
633;usuario 633;998.084.677-15;998084677;15;;
634;usuario 634;188.927.140-12;188927140;12;;
635;usuario 635;119.323.254-12;119323254;12;;
636;usuario 636;644.196.393-10;644196393;10;;
637;usuario 637;151.837.785-19;151837785;19;;
638;usuario 638;347.917.718-12;347917718;12;;
639;usuario 639;545.348.899-10;545348899;10;;
640;usuario 640;964.467.860-14;964467860;14;;
641;usuario 641;886.921.514-15;886921514;15;;
642;usuario 642;923.392.234-15;923392234;15;;
643;usuario 643;475.222.954-13;475222954;13;;
644;usuario 644;442.003.314-19;442003314;19;;
645;usuario 645;486.844.136-10;486844136;10;;
646;usuario 646;871.552.033-15;871552033;15;;
647;usuario 647;640.126.513-13;640126513;13;;
648;usuario 648;651.113.499-16;651113499;16;;
649;usuario 649;557.762.043-12;557762043;12;;
650;usuario 650;836.721.235-15;836721235;15;;
651;usuario 651;539.211.296-10;539211296;10;;
652;usuario 652;968.086.593-14;968086593;14;;
653;usuario 653;177.310.545-10;177310545;10;;
654;usuario 654;179.242.789-12;179242789;12;;
655;usuario 655;187.605.229-14;187605229;14;;
656;usuario 656;970.237.661-16;970237661;16;;
657;usuario 657;490.109.958-10;490109958;10;;
658;usuario 658;396.156.181-15;396156181;15;;
659;usuario 659;249.084.160-17;249084160;17;;
660;usuario 660;447.931.967-11;447931967;11;;
661;usuario 661;242.933.468-17;242933468;17;;
662;usuario 662;435.693.434-14;435693434;14;;
663;usuario 663;400.683.585-17;400683585;17;;
664;usuario 664;121.562.440-15;121562440;15;;
665;usuario 665;914.770.118-13;914770118;13;;
666;usuario 666;726.407.381-12;726407381;12;;
667;usuario 667;420.706.177-10;420706177;10;;
668;usuario 668;860.899.864-18;860899864;18;;
669;usuario 669;281.652.764-19;281652764;19;;
670;usuario 670;333.350.664-12;333350664;12;;
671;usuario 671;224.795.971-15;224795971;15;;
672;usuario 672;367.642.713-11;367642713;11;;
673;usuario 673;575.987.473-12;575987473;12;;
674;usuario 674;124.331.899-10;124331899;10;;
675;usuario 675;559.275.110-14;559275110;14;;
676;usuario 676;338.604.292-17;338604292;17;;
677;usuario 677;213.324.332-13;213324332;13;;
678;usuario 678;481.529.759-11;481529759;11;;
679;usuario 679;211.127.058-11;211127058;11;;
680;usuario 680;707.798.626-15;707798626;15;;
681;usuario 681;121.583.871-16;121583871;16;;
682;usuario 682;403.405.254-13;403405254;13;;
683;usuario 683;598.375.824-10;598375824;10;;
684;usuario 684;185.106.318-14;185106318;14;;
685;usuario 685;622.351.300-19;622351300;19;;
686;usuario 686;917.135.015-14;917135015;14;;
687;usuario 687;742.352.968-10;742352968;10;;
688;usuario 688;201.732.793-11;201732793;11;;
689;usuario 689;223.380.079-17;223380079;17;;
690;usuario 690;770.705.061-14;770705061;14;;
691;usuario 691;358.488.247-15;358488247;15;;
692;usuario 692;621.378.039-13;621378039;13;;
693;usuario 693;305.084.875-12;305084875;12;;
694;usuario 694;808.751.468-10;808751468;10;;
695;usuario 695;120.184.288-17;120184288;17;;
696;usuario 696;830.697.891-19;830697891;19;;
697;usuario 697;692.216.641-18;692216641;18;;
698;usuario 698;490.946.476-16;490946476;16;;
699;usuario 699;634.278.935-14;634278935;14;;
700;usuario 700;210.361.449-19;210361449;19;;
701;usuario 701;829.388.103-17;829388103;17;;
702;usuario 702;157.365.475-15;157365475;15;;
703;usuario 703;276.177.578-17;276177578;17;;
704;usuario 704;252.990.019-17;252990019;17;;
705;usuario 705;844.351.433-14;844351433;14;;
706;usuario 706;276.539.343-17;276539343;17;;
707;usuario 707;294.270.758-13;294270758;13;;
708;usuario 708;541.788.763-11;541788763;11;;
709;usuario 709;742.041.766-13;742041766;13;;
710;usuario 710;604.661.417-14;604661417;14;;
711;usuario 711;896.617.341-10;896617341;10;;
712;usuario 712;450.107.466-14;450107466;14;;
713;usuario 713;513.614.929-14;513614929;14;;
714;usuario 714;970.282.461-12;970282461;12;;
715;usuario 715;532.675.899-16;532675899;16;;
716;usuario 716;749.002.950-11;749002950;11;;
717;usuario 717;971.850.321-19;971850321;19;;
718;usuario 718;186.861.726-13;186861726;13;;
719;usuario 719;948.066.604-13;948066604;13;;
720;usuario 720;737.960.938-16;737960938;16;;
721;usuario 721;188.039.692-19;188039692;19;;
722;usuario 722;454.739.652-15;454739652;15;;
723;usuario 723;737.468.842-12;737468842;12;;
724;usuario 724;529.722.557-11;529722557;11;;
725;usuario 725;845.080.382-14;845080382;14;;
726;usuario 726;761.678.399-17;761678399;17;;
727;usuario 727;331.636.487-11;331636487;11;;
728;usuario 728;167.841.220-11;167841220;11;;
729;usuario 729;366.263.241-15;366263241;15;;
730;usuario 730;315.808.494-10;315808494;10;;
731;usuario 731;985.178.877-10;985178877;10;;
732;usuario 732;531.523.055-16;531523055;16;;
733;usuario 733;135.658.878-17;135658878;17;;
734;usuario 734;325.755.685-11;325755685;11;;
735;usuario 735;402.728.676-17;402728676;17;;
736;usuario 736;192.143.628-10;192143628;10;;
737;usuario 737;588.033.550-17;588033550;17;;
738;usuario 738;800.647.045-15;800647045;15;;
739;usuario 739;493.050.340-15;493050340;15;;
740;usuario 740;468.639.301-19;468639301;19;;
741;usuario 741;688.706.048-18;688706048;18;;
742;usuario 742;548.108.947-17;548108947;17;;
743;usuario 743;932.971.930-10;932971930;10;;
744;usuario 744;695.525.389-11;695525389;11;;
745;usuario 745;255.806.306-12;255806306;12;;
746;usuario 746;645.260.802-19;645260802;19;;
747;usuario 747;752.546.986-12;752546986;12;;
748;usuario 748;135.829.182-11;135829182;11;;
749;usuario 749;269.600.856-13;269600856;13;;
750;usuario 750;433.802.624-10;433802624;10;;
751;usuario 751;952.478.879-16;952478879;16;;
752;usuario 752;928.254.785-10;928254785;10;;
753;usuario 753;892.066.648-18;892066648;18;;
754;usuario 754;963.810.558-19;963810558;19;;
755;usuario 755;989.816.051-15;989816051;15;;
756;usuario 756;312.330.002-18;312330002;18;;
757;usuario 757;435.363.888-10;435363888;10;;
758;usuario 758;498.473.113-13;498473113;13;;
759;usuario 759;775.007.559-10;775007559;10;;
760;usuario 760;301.207.937-14;301207937;14;;
761;usuario 761;386.590.126-18;386590126;18;;
762;usuario 762;286.741.636-10;286741636;10;;
763;usuario 763;112.290.183-11;112290183;11;;
764;usuario 764;757.883.357-11;757883357;11;;
765;usuario 765;190.324.123-11;190324123;11;;
766;usuario 766;759.532.152-16;759532152;16;;
767;usuario 767;276.499.643-14;276499643;14;;
768;usuario 768;143.396.974-10;143396974;10;;
769;usuario 769;947.765.385-15;947765385;15;;
770;usuario 770;607.000.993-17;607000993;17;;
771;usuario 771;983.764.626-15;983764626;15;;
772;usuario 772;866.005.668-17;866005668;17;;
773;usuario 773;782.521.194-13;782521194;13;;
774;usuario 774;348.719.343-10;348719343;10;;
775;usuario 775;466.386.684-17;466386684;17;;
776;usuario 776;605.854.368-18;605854368;18;;
777;usuario 777;699.483.170-17;699483170;17;;
778;usuario 778;246.626.065-14;246626065;14;;
779;usuario 779;385.453.960-11;385453960;11;;
780;usuario 780;764.607.046-14;764607046;14;;
781;usuario 781;527.200.776-15;527200776;15;;
782;usuario 782;261.725.630-12;261725630;12;;
783;usuario 783;568.354.639-10;568354639;10;;
784;usuario 784;878.213.200-17;878213200;17;;
785;usuario 785;148.109.935-19;148109935;19;;
786;usuario 786;942.019.376-15;942019376;15;;
787;usuario 787;383.271.053-18;383271053;18;;
788;usuario 788;225.978.719-18;225978719;18;;
789;usuario 789;195.354.506-10;195354506;10;;
790;usuario 790;704.355.636-17;704355636;17;;
791;usuario 791;178.097.790-19;178097790;19;;
792;usuario 792;430.700.715-17;430700715;17;;
793;usuario 793;647.576.673-14;647576673;14;;
794;usuario 794;531.610.820-18;531610820;18;;
795;usuario 795;907.089.569-19;907089569;19;;
796;usuario 796;825.862.632-18;825862632;18;;
797;usuario 797;539.360.032-14;539360032;14;;
798;usuario 798;541.479.127-14;541479127;14;;
799;usuario 799;345.617.334-15;345617334;15;;
800;usuario 800;470.058.868-17;470058868;17;;
801;usuario 801;576.698.835-18;576698835;18;;
802;usuario 802;686.860.045-18;686860045;18;;
803;usuario 803;231.926.468-10;231926468;10;;
804;usuario 804;348.373.759-14;348373759;14;;
805;usuario 805;769.056.052-12;769056052;12;;
806;usuario 806;230.721.621-12;230721621;12;;
807;usuario 807;713.512.381-10;713512381;10;;
808;usuario 808;952.752.337-10;952752337;10;;
809;usuario 809;774.009.147-13;774009147;13;;
810;usuario 810;651.234.209-19;651234209;19;;
811;usuario 811;561.690.420-10;561690420;10;;
812;usuario 812;937.116.109-16;937116109;16;;
813;usuario 813;440.529.398-13;440529398;13;;
814;usuario 814;669.180.256-10;669180256;10;;
815;usuario 815;765.540.416-19;765540416;19;;
816;usuario 816;494.611.990-10;494611990;10;;
817;usuario 817;585.369.389-19;585369389;19;;
818;usuario 818;390.531.463-12;390531463;12;;
819;usuario 819;683.980.058-15;683980058;15;;
820;usuario 820;712.154.373-17;712154373;17;;
821;usuario 821;698.920.129-11;698920129;11;;
822;usuario 822;975.953.201-19;975953201;19;;
823;usuario 823;308.146.174-17;308146174;17;;
824;usuario 824;770.302.749-14;770302749;14;;
825;usuario 825;606.774.153-11;606774153;11;;
826;usuario 826;800.906.529-19;800906529;19;;
827;usuario 827;300.121.792-13;300121792;13;;
828;usuario 828;902.681.070-17;902681070;17;;
829;usuario 829;905.166.052-19;905166052;19;;
830;usuario 830;441.620.303-19;441620303;19;;
831;usuario 831;789.492.882-19;789492882;19;;
832;usuario 832;418.545.349-12;418545349;12;;
833;usuario 833;322.338.379-11;322338379;11;;
834;usuario 834;855.652.354-13;855652354;13;;
835;usuario 835;620.878.749-10;620878749;10;;
836;usuario 836;606.802.430-19;606802430;19;;
837;usuario 837;365.865.576-14;365865576;14;;
838;usuario 838;275.768.578-17;275768578;17;;
839;usuario 839;238.855.801-14;238855801;14;;
840;usuario 840;666.935.757-14;666935757;14;;
841;usuario 841;639.073.352-15;639073352;15;;
842;usuario 842;773.347.316-11;773347316;11;;
843;usuario 843;801.285.766-15;801285766;15;;
844;usuario 844;222.336.614-16;222336614;16;;
845;usuario 845;774.422.766-18;774422766;18;;
846;usuario 846;508.404.671-19;508404671;19;;
847;usuario 847;238.888.206-13;238888206;13;;
848;usuario 848;788.348.090-19;788348090;19;;
849;usuario 849;364.628.318-13;364628318;13;;
850;usuario 850;246.582.326-16;246582326;16;;
851;usuario 851;167.859.079-17;167859079;17;;
852;usuario 852;120.465.709-18;120465709;18;;
853;usuario 853;472.686.366-10;472686366;10;;
854;usuario 854;246.144.532-12;246144532;12;;
855;usuario 855;246.754.073-13;246754073;13;;
856;usuario 856;854.822.645-17;854822645;17;;
857;usuario 857;431.670.542-11;431670542;11;;
858;usuario 858;855.073.109-11;855073109;11;;
859;usuario 859;968.239.031-13;968239031;13;;
860;usuario 860;492.525.705-15;492525705;15;;
861;usuario 861;378.296.319-10;378296319;10;;
862;usuario 862;137.291.434-10;137291434;10;;
863;usuario 863;663.145.440-16;663145440;16;;
864;usuario 864;153.295.082-15;153295082;15;;
865;usuario 865;785.512.343-18;785512343;18;;
866;usuario 866;835.035.297-19;835035297;19;;
867;usuario 867;552.966.471-12;552966471;12;;
868;usuario 868;824.820.666-15;824820666;15;;
869;usuario 869;231.500.611-10;231500611;10;;
870;usuario 870;614.660.599-14;614660599;14;;
871;usuario 871;467.037.242-16;467037242;16;;
872;usuario 872;173.003.994-14;173003994;14;;
873;usuario 873;500.597.498-17;500597498;17;;
874;usuario 874;196.144.588-18;196144588;18;;
875;usuario 875;233.132.606-17;233132606;17;;
876;usuario 876;671.673.766-13;671673766;13;;
877;usuario 877;821.211.073-16;821211073;16;;
878;usuario 878;898.105.528-14;898105528;14;;
879;usuario 879;373.101.048-15;373101048;15;;
880;usuario 880;272.881.108-12;272881108;12;;
881;usuario 881;693.980.083-19;693980083;19;;
882;usuario 882;939.098.689-18;939098689;18;;
883;usuario 883;800.240.617-15;800240617;15;;
884;usuario 884;114.078.659-16;114078659;16;;
885;usuario 885;136.881.845-15;136881845;15;;
886;usuario 886;172.661.841-16;172661841;16;;
887;usuario 887;170.868.923-11;170868923;11;;
888;usuario 888;146.631.737-19;146631737;19;;
889;usuario 889;969.493.378-11;969493378;11;;
890;usuario 890;567.430.540-11;567430540;11;;
891;usuario 891;185.743.861-11;185743861;11;;
892;usuario 892;226.931.122-18;226931122;18;;
893;usuario 893;282.196.175-10;282196175;10;;
894;usuario 894;388.102.858-13;388102858;13;;
895;usuario 895;222.719.130-19;222719130;19;;
896;usuario 896;997.288.019-16;997288019;16;;
897;usuario 897;318.540.146-16;318540146;16;;
898;usuario 898;755.583.365-19;755583365;19;;
899;usuario 899;385.504.409-16;385504409;16;;
900;usuario 900;955.860.568-13;955860568;13;;
901;usuario 901;563.292.741-14;563292741;14;;
902;usuario 902;824.054.091-14;824054091;14;;
903;usuario 903;738.874.739-19;738874739;19;;
904;usuario 904;176.777.513-12;176777513;12;;
905;usuario 905;800.289.925-14;800289925;14;;
906;usuario 906;514.916.490-17;514916490;17;;
907;usuario 907;288.171.173-10;288171173;10;;
908;usuario 908;815.690.204-17;815690204;17;;
909;usuario 909;932.556.002-14;932556002;14;;
910;usuario 910;667.131.336-19;667131336;19;;
911;usuario 911;903.449.827-19;903449827;19;;
912;usuario 912;548.730.980-16;548730980;16;;
913;usuario 913;247.082.460-10;247082460;10;;
914;usuario 914;358.037.276-17;358037276;17;;
915;usuario 915;730.632.294-15;730632294;15;;
916;usuario 916;984.091.309-12;984091309;12;;
917;usuario 917;867.575.097-10;867575097;10;;
918;usuario 918;303.301.611-17;303301611;17;;
919;usuario 919;469.284.511-19;469284511;19;;
920;usuario 920;442.899.392-10;442899392;10;;
921;usuario 921;129.161.133-11;129161133;11;;
922;usuario 922;640.671.528-17;640671528;17;;
923;usuario 923;735.568.693-14;735568693;14;;
924;usuario 924;232.588.804-19;232588804;19;;
925;usuario 925;150.003.715-10;150003715;10;;
926;usuario 926;940.107.687-10;940107687;10;;
927;usuario 927;474.847.460-16;474847460;16;;
928;usuario 928;497.983.377-14;497983377;14;;
929;usuario 929;286.200.620-17;286200620;17;;
930;usuario 930;303.237.757-13;303237757;13;;
931;usuario 931;974.956.366-19;974956366;19;;
932;usuario 932;879.861.084-11;879861084;11;;
933;usuario 933;162.517.836-14;162517836;14;;
934;usuario 934;379.357.965-17;379357965;17;;
935;usuario 935;579.397.346-10;579397346;10;;
936;usuario 936;437.113.983-15;437113983;15;;
937;usuario 937;621.231.314-18;621231314;18;;
938;usuario 938;861.621.783-13;861621783;13;;
939;usuario 939;826.844.970-14;826844970;14;;
940;usuario 940;124.081.336-17;124081336;17;;
941;usuario 941;891.760.768-18;891760768;18;;
942;usuario 942;791.793.660-13;791793660;13;;
943;usuario 943;821.517.553-15;821517553;15;;
944;usuario 944;903.394.202-13;903394202;13;;
945;usuario 945;323.283.209-11;323283209;11;;
946;usuario 946;663.113.953-16;663113953;16;;
947;usuario 947;608.767.598-16;608767598;16;;
948;usuario 948;588.533.042-14;588533042;14;;
949;usuario 949;898.469.291-13;898469291;13;;
950;usuario 950;942.067.510-18;942067510;18;;
951;usuario 951;267.312.036-12;267312036;12;;
952;usuario 952;577.844.777-17;577844777;17;;
953;usuario 953;933.646.852-11;933646852;11;;
954;usuario 954;620.514.077-17;620514077;17;;
955;usuario 955;743.091.082-12;743091082;12;;
956;usuario 956;770.420.365-10;770420365;10;;
957;usuario 957;281.233.917-18;281233917;18;;
958;usuario 958;740.348.566-18;740348566;18;;
959;usuario 959;590.829.921-13;590829921;13;;
960;usuario 960;471.547.648-18;471547648;18;;
961;usuario 961;683.239.693-16;683239693;16;;
962;usuario 962;313.592.696-19;313592696;19;;
963;usuario 963;707.364.914-12;707364914;12;;
964;usuario 964;773.520.367-18;773520367;18;;
965;usuario 965;985.409.657-18;985409657;18;;
966;usuario 966;604.098.900-15;604098900;15;;
967;usuario 967;767.072.329-18;767072329;18;;
968;usuario 968;439.284.999-10;439284999;10;;
969;usuario 969;694.964.162-11;694964162;11;;
970;usuario 970;299.210.140-11;299210140;11;;
971;usuario 971;595.130.953-12;595130953;12;;
972;usuario 972;980.237.070-12;980237070;12;;
973;usuario 973;665.675.737-12;665675737;12;;
974;usuario 974;204.688.832-17;204688832;17;;
975;usuario 975;420.357.680-17;420357680;17;;
976;usuario 976;291.232.588-11;291232588;11;;
977;usuario 977;317.194.835-12;317194835;12;;
978;usuario 978;206.699.799-13;206699799;13;;
979;usuario 979;683.483.613-10;683483613;10;;
980;usuario 980;471.340.527-12;471340527;12;;
981;usuario 981;181.276.776-18;181276776;18;;
982;usuario 982;577.781.132-18;577781132;18;;
983;usuario 983;810.186.477-10;810186477;10;;
984;usuario 984;535.409.114-16;535409114;16;;
985;usuario 985;493.639.746-15;493639746;15;;
986;usuario 986;860.675.913-13;860675913;13;;
987;usuario 987;766.637.539-11;766637539;11;;
988;usuario 988;308.393.448-11;308393448;11;;
989;usuario 989;474.936.664-14;474936664;14;;
990;usuario 990;139.474.384-12;139474384;12;;
991;usuario 991;195.610.140-13;195610140;13;;
992;usuario 992;700.756.615-14;700756615;14;;
993;usuario 993;175.184.151-14;175184151;14;;
994;usuario 994;432.250.540-19;432250540;19;;
995;usuario 995;730.736.707-16;730736707;16;;
996;usuario 996;131.035.980-12;131035980;12;;
997;usuario 997;490.515.430-18;490515430;18;;
998;usuario 998;928.994.914-14;928994914;14;;
999;usuario 999;766.797.213-18;766797213;18;;
1000;usuario 1000;465.840.382-16;465840382;16;;
1001;pato fu;123.456.789-69;36761040809;;;
